Genero,Peso,Altura
Hombre,109.39299999999999,187.405
Hombre,73.325,173.52900000000002
Hombre,95.936,187.75900000000001
Hombre,99.181,182.31
Hombre,93.35,177.21200000000002
Hombre,69.49600000000001,170.463
Hombre,82.698,174.171
Hombre,75.88600000000001,172.62400000000002
Hombre,78.58,170.07299999999998
Hombre,69.961,161.434
Hombre,83.521,179.606
Hombre,95.742,181.425
Hombre,75.225,164.458
Hombre,85.34100000000001,175.143
Hombre,84.14399999999999,174.735
Hombre,77.926,170.872
Hombre,88.096,183.071
Hombre,78.154,161.783
Hombre,84.01,175.673
Hombre,82.075,171.965
Hombre,77.89,171.729
Hombre,89.42299999999999,176.003
Hombre,66.813,168.05
Hombre,103.135,191.172
Hombre,72.646,171.51
Hombre,87.179,173.372
Hombre,82.637,174.63400000000001
Hombre,93.07600000000001,183.669
Hombre,79.26899999999999,171.175
Hombre,69.527,173.25
Hombre,84.831,173.65099999999998
Hombre,96.051,188.445
Hombre,88.31700000000001,180.85299999999998
Hombre,92.977,175.31599999999997
Hombre,92.116,176.304
Hombre,87.23,177.954
Hombre,88.868,174.68599999999998
Hombre,83.305,169.761
Hombre,73.98100000000001,167.285
Hombre,73.057,162.988
Hombre,78.036,172.02599999999998
Hombre,88.132,182.50599999999997
Hombre,76.447,165.342
Hombre,73.288,167.02700000000002
Hombre,74.312,170.84099999999998
Hombre,84.706,178.24900000000002
Hombre,84.292,173.185
Hombre,94.116,183.38
Hombre,87.01,174.98
Hombre,94.818,184.646
Hombre,74.854,163.954
Hombre,91.315,178.363
Hombre,78.26100000000001,173.01
Hombre,81.646,170.753
Hombre,75.57300000000001,170.079
Hombre,73.76899999999999,167.799
Hombre,86.303,172.882
Hombre,87.111,178.66400000000002
Hombre,89.238,179.97
Hombre,95.206,177.093
Hombre,90.094,181.237
Hombre,89.488,175.915
Hombre,88.09299999999999,187.178
Hombre,74.245,170.484
Hombre,80.854,180.982
Hombre,70.27199999999999,165.32299999999998
Hombre,82.788,173.47299999999998
Hombre,99.884,183.518
Hombre,82.90299999999999,172.18400000000003
Hombre,88.52600000000001,173.887
Hombre,83.228,175.28900000000002
Hombre,94.48,178.9
Hombre,80.064,176.29
Hombre,73.068,170.618
Hombre,97.837,183.562
Hombre,92.26299999999999,180.12900000000002
Hombre,91.413,182.424
Hombre,99.82,183.032
Hombre,88.777,168.005
Hombre,75.834,167.138
Hombre,82.301,171.37099999999998
Hombre,89.686,173.479
Hombre,107.212,186.614
Hombre,77.683,177.392
Hombre,72.156,166.55200000000002
Hombre,85.015,179.61700000000002
Hombre,93.62700000000001,168.761
Hombre,87.29700000000001,175.463
Hombre,77.54,173.049
Hombre,89.36200000000001,182.554
Hombre,91.37299999999999,182.227
Hombre,81.84100000000001,165.03599999999997
Hombre,81.875,178.97799999999998
Hombre,79.58800000000001,164.345
Hombre,73.749,170.14700000000002
Hombre,75.251,165.076
Hombre,86.71600000000001,182.168
Hombre,81.428,169.43400000000003
Hombre,78.135,167.69299999999998
Hombre,80.319,175.642
Hombre,90.934,177.071
Hombre,75.779,168.575
Hombre,69.596,168.15900000000002
Hombre,80.476,172.732
Hombre,82.975,177.27700000000002
Hombre,80.57,173.533
Hombre,70.995,171.324
Hombre,75.384,168.424
Hombre,78.07600000000001,174.77900000000002
Hombre,79.188,170.65099999999998
Hombre,85.243,176.13
Hombre,90.939,173.28400000000002
Hombre,92.014,181.032
Hombre,81.001,174.822
Hombre,73.749,170.215
Hombre,100.98899999999999,187.41400000000002
Hombre,91.829,175.69799999999998
Hombre,84.883,173.021
Hombre,80.021,172.203
Hombre,100.603,181.687
Hombre,75.23100000000001,160.672
Hombre,81.343,173.791
Hombre,73.507,169.688
Hombre,68.407,159.28
Hombre,87.01,183.18099999999998
Hombre,90.988,179.75900000000001
Hombre,81.125,171.43599999999998
Hombre,89.101,178.892
Hombre,84.626,176.428
Hombre,76.949,168.399
Hombre,86.12700000000001,171.418
Hombre,74.617,166.56099999999998
Hombre,84.10700000000001,181.38
Hombre,79.524,173.48
Hombre,67.972,162.339
Hombre,94.84200000000001,180.298
Hombre,77.913,172.63
Hombre,80.863,172.72
Hombre,76.372,171.80599999999998
Hombre,82.51799999999999,173.21
Hombre,76.47,173.513
Hombre,78.097,168.489
Hombre,82.119,168.157
Hombre,83.198,170.701
Hombre,93.249,175.58900000000003
Hombre,82.825,178.588
Hombre,90.65,180.94099999999997
Hombre,98.014,180.22099999999998
Hombre,71.741,167.84599999999998
Hombre,94.56200000000001,184.497
Hombre,80.583,171.22099999999998
Hombre,66.116,164.995
Hombre,88.27,178.578
Hombre,77.171,177.449
Hombre,76.328,163.636
Hombre,88.521,176.358
Hombre,81.298,174.03400000000002
Hombre,66.48899999999999,156.621
Hombre,79.567,173.986
Hombre,84.071,165.218
Hombre,80.044,162.988
Hombre,76.602,174.30700000000002
Hombre,89.655,184.468
Hombre,91.508,169.87400000000002
Hombre,87.48899999999999,170.31400000000002
Hombre,80.359,165.09099999999998
Hombre,73.223,168.162
Hombre,71.969,171.468
Hombre,78.27,166.237
Hombre,90.814,177.363
Hombre,76.982,173.394
Hombre,92.90899999999999,183.389
Hombre,76.617,173.475
Hombre,89.61200000000001,182.02900000000002
Hombre,81.296,167.45
Hombre,76.029,169.158
Hombre,80.345,171.185
Hombre,87.20100000000001,172.81599999999997
Hombre,73.383,163.567
Hombre,83.325,171.128
Hombre,82.38,173.202
Hombre,95.145,175.951
Hombre,74.632,167.513
Hombre,88.163,168.892
Hombre,90.76899999999999,181.678
Hombre,77.457,173.123
Hombre,90.845,176.67700000000002
Hombre,87.119,181.851
Hombre,81.27199999999999,166.769
Hombre,70.298,169.521
Hombre,106.167,194.139
Hombre,103.81299999999999,183.722
Hombre,92.256,177.063
Hombre,98.307,184.253
Hombre,101.175,183.675
Hombre,93.73100000000001,182.625
Hombre,82.13799999999999,170.06799999999998
Hombre,105.302,192.11599999999999
Hombre,76.655,168.02
Hombre,85.245,180.217
Hombre,87.779,180.49400000000003
Hombre,96.613,182.99900000000002
Hombre,100.925,189.953
Hombre,71.025,162.674
Hombre,75.152,163.826
Hombre,71.938,160.528
Hombre,78.992,172.271
Hombre,79.164,166.90400000000002
Hombre,86.524,179.50400000000002
Hombre,83.81200000000001,171.28900000000002
Hombre,78.46600000000001,173.843
Hombre,87.3,177.71099999999998
Hombre,94.11200000000001,182.887
Hombre,92.766,179.342
Hombre,78.225,167.03400000000002
Hombre,105.425,189.143
Hombre,80.012,171.355
Hombre,79.084,170.335
Hombre,96.35700000000001,181.80599999999998
Hombre,75.312,163.782
Hombre,88.544,172.532
Hombre,74.983,169.201
Hombre,79.721,169.282
Hombre,78.628,171.813
Hombre,88.344,174.74200000000002
Hombre,93.462,177.731
Hombre,71.318,164.333
Hombre,76.312,171.71200000000002
Hombre,60.997,161.494
Hombre,97.931,182.09
Hombre,69.593,168.532
Hombre,90.814,182.197
Hombre,107.257,192.672
Hombre,87.781,180.821
Hombre,80.47800000000001,170.577
Hombre,90.10799999999999,178.892
Hombre,83.7,176.68
Hombre,80.392,171.85299999999998
Hombre,96.564,188.00900000000001
Hombre,84.36200000000001,175.012
Hombre,76.639,169.048
Hombre,77.793,168.6
Hombre,76.139,170.143
Hombre,73.676,174.82
Hombre,86.242,178.793
Hombre,70.77199999999999,165.65400000000002
Hombre,78.311,165.22
Hombre,76.445,171.079
Hombre,103.56299999999999,187.293
Hombre,93.92200000000001,180.68400000000003
Hombre,78.154,171.822
Hombre,90.26799999999999,172.613
Hombre,76.11,167.313
Hombre,88.59,181.25099999999998
Hombre,88.991,174.60299999999998
Hombre,80.51,174.472
Hombre,84.781,180.082
Hombre,71.12,161.29399999999998
Hombre,94.39,179.75799999999998
Hombre,83.82799999999999,167.226
Hombre,70.645,164.951
Hombre,82.486,171.68400000000003
Hombre,92.454,180.291
Hombre,104.48200000000001,187.889
Hombre,84.337,175.854
Hombre,81.664,163.875
Hombre,89.574,172.843
Hombre,92.46799999999999,179.765
Hombre,72.667,156.485
Hombre,85.57799999999999,173.235
Hombre,89.509,182.729
Hombre,99.664,183.69099999999997
Hombre,96.816,180.391
Hombre,91.292,182.96900000000002
Hombre,84.13799999999999,170.66099999999997
Hombre,88.82,183.153
Hombre,67.694,158.576
Hombre,74.919,168.014
Hombre,89.838,175.766
Hombre,81.471,174.657
